,g,k,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,label
0,0.0,0.01,3.75e-05,2.5e-05,2.5e-05,2.5e-05,-1.25e-05,-0.0,-0.0,-0.0,0.999975,0.999975,0.999975,0.999975,1
1,0.0,0.02,0.00015001,0.00010002,0.00010001,0.00010001,-5.001e-05,-0.0,-0.0,-0.0,0.99989999,0.99989998,0.99989998,0.99989998,1
2,0.0,0.03,0.00033755,0.00022508,0.00022505,0.00022505,-0.00011253,-1e-08,-0.0,-0.0,0.99977496,0.99977492,0.99977492,0.99977492,1
3,0.0,0.04,0.00060016,0.00040024,0.00040016,0.00040016,-0.00020008,-4e-08,-0.0,-0.0,0.99959988,0.99959976,0.99959976,0.99959976,1
4,0.0,0.05,0.00093789,0.00062559,0.00062539,0.00062539,-0.0003127,-1e-07,-0.0,-0.0,0.99937471,0.99937441,0.99937441,0.99937441,1
5,0.0,0.06,0.00135082,0.00090122,0.00090082,0.00090082,-0.00045042,-2.1e-07,-0.0,-0.0,0.99909939,0.99909878,0.99909878,0.99909878,1
6,0.0,0.07,0.00183903,0.00122727,0.00122652,0.00122652,-0.00061328,-3.9e-07,-1e-08,-1e-08,0.99877387,0.99877274,0.99877274,0.99877274,1
7,0.0,0.08,0.00240263,0.00160388,0.0016026,0.00160259,-0.00080134,-6.7e-07,-3e-08,-3e-08,0.99839807,0.99839615,0.99839615,0.99839615,1
8,0.0,0.09,0.00304174,0.00203123,0.00202918,0.00202917,-0.00101468,-1.09e-06,-6e-08,-5e-08,0.99797191,0.99796883,0.99796882,0.99796882,1
9,0.0,0.1,0.0037565,0.00250952,0.0025064,0.00250638,-0.00125336,-1.69e-06,-1.1e-07,-1e-07,0.99749529,0.99749059,0.99749057,0.99749057,1
10,0.0,0.11,0.0045471,0.00303899,0.00303441,0.00303438,-0.0015175,-2.51e-06,-1.9e-07,-1.7e-07,0.9969681,0.99696121,0.99696117,0.99696117,1
11,0.0,0.12,0.00541372,0.00361989,0.0036134,0.00361334,-0.00180719,-3.62e-06,-3.2e-07,-2.9e-07,0.99639021,0.99638044,0.99638038,0.99638038,1
12,0.0,0.13,0.00635658,0.0042525,0.00424356,0.00424347,-0.00212258,-5.08e-06,-5.1e-07,-4.6e-07,0.9957615,0.99574803,0.99574793,0.99574793,1
13,0.0,0.14,0.00737593,0.00493715,0.00492512,0.00492497,-0.0024638,-6.96e-06,-8e-07,-7.2e-07,0.99508182,0.99506368,0.99506353,0.99506352,1
14,0.0,0.15,0.00847205,0.00567418,0.00565832,0.0056581,-0.00283103,-9.35e-06,-1.2e-06,-1.09e-06,0.994351,0.99432707,0.99432684,0.99432683,1
15,0.0,0.16,0.00964525,0.00646398,0.00644344,0.00644312,-0.00322447,-1.236e-05,-1.76e-06,-1.6e-06,0.99356887,0.99353785,0.99353751,0.9935375,1
16,0.0,0.17,0.01089587,0.00730697,0.00728078,0.00728033,-0.00364433,-1.61e-05,-2.53e-06,-2.3e-06,0.99273524,0.99269566,0.99269516,0.99269515,1
17,0.0,0.18,0.01222431,0.00820359,0.00817067,0.00817003,-0.00409087,-2.068e-05,-3.56e-06,-3.23e-06,0.99184992,0.99180009,0.99179938,0.99179936,1
18,0.0,0.19,0.013631,0.00915436,0.00911347,0.00911259,-0.00456436,-2.627e-05,-4.9e-06,-4.45e-06,0.99091267,0.99085071,0.99084972,0.99084969,1
19,0.0,0.2,0.0151164,0.0101598,0.01010959,0.01010839,-0.00506513,-3.301e-05,-6.65e-06,-6.04e-06,0.98992326,0.98984706,0.9898457,0.98984565,1
20,0.0,0.21,0.01668105,0.0112205,0.01115944,0.01115785,-0.00559351,-4.109e-05,-8.88e-06,-8.06e-06,0.98888144,0.98878864,0.98878681,0.98878673,1
21,0.0,0.22,0.01832552,0.01233709,0.01226352,0.01226142,-0.00614991,-5.07e-05,-1.17e-05,-1.061e-05,0.98778694,0.98767493,0.98767248,0.98767236,1
22,0.0,0.23,0.02005044,0.01351024,0.01342232,0.0134196,-0.00673475,-6.208e-05,-1.522e-05,-1.38e-05,0.98663945,0.98650535,0.98650212,0.98650196,1
23,0.0,0.24,0.02185652,0.01474069,0.01463642,0.01463292,-0.00734851,-7.544e-05,-1.956e-05,-1.774e-05,0.98543867,0.9852793,0.9852751,0.98527487,1
24,0.0,0.25,0.0237445,0.01602922,0.01590642,0.01590197,-0.00799173,-9.108e-05,-2.489e-05,-2.257e-05,0.98418425,0.98399614,0.98399072,0.9839904,1
25,0.0,0.26,0.02571523,0.01737669,0.01723297,0.01722738,-0.00866497,-0.00010927,-3.136e-05,-2.842e-05,0.98287584,0.98265517,0.98264824,0.9826478,1
26,0.0,0.27,0.0277696,0.01878399,0.01861681,0.01860983,-0.00936887,-0.00013034,-3.915e-05,-3.548e-05,0.98151303,0.98125566,0.98124688,0.98124629,1
27,0.0,0.28,0.0299086,0.02025211,0.02005869,0.02005007,-0.01010412,-0.00015463,-4.846e-05,-4.391e-05,0.98009542,0.97979681,0.97978579,0.97978499,1
28,0.0,0.29,0.03213331,0.0217821,0.02155946,0.0215489,-0.01087148,-0.00018253,-5.953e-05,-5.392e-05,0.97862253,0.9782778,0.97826404,0.97826298,1
29,0.0,0.3,0.03444488,0.02337507,0.02312003,0.02310717,-0.01167176,-0.00021442,-7.258e-05,-6.573e-05,0.9770939,0.9766977,0.97668065,0.97667927,1
30,0.0,0.31,0.03684458,0.02503222,0.02474138,0.02472583,-0.01250585,-0.00025076,-8.79e-05,-7.958e-05,0.97550899,0.97505557,0.97503459,0.97503279,1
31,0.0,0.32,0.03933375,0.02675484,0.02642456,0.02640588,-0.0133747,-0.00029202,-0.00010576,-9.572e-05,0.97386724,0.97335037,0.97332469,0.97332238,1
32,0.0,0.33,0.04191387,0.02854431,0.02817071,0.02814841,-0.01427935,-0.0003387,-0.00012648,-0.00011444,0.97216804,0.971581,0.97154976,0.97154681,1
33,0.0,0.34,0.04458651,0.03040209,0.02998105,0.0299546,-0.01522089,-0.00039134,-0.0001504,-0.00013605,0.97041073,0.96974628,0.96970847,0.96970472,1
34,0.0,0.35,0.04735337,0.03232975,0.03185691,0.03182569,-0.01620052,-0.00045053,-0.00017788,-0.00016085,0.9685946,0.96784495,0.96779942,0.9677947,1
35,0.0,0.36,0.05021627,0.03432896,0.03379971,0.03376305,-0.0172195,-0.00051686,-0.00020932,-0.00018921,0.9667189,0.96587565,0.96582107,0.96581517,1
36,0.0,0.37,0.05317717,0.03640149,0.03581097,0.03576813,-0.0182792,-0.000591,-0.00024512,-0.00022149,0.9647828,0.96383693,0.96377181,0.96376447,1
37,0.0,0.38,0.05623816,0.03854925,0.03789233,0.0378425,-0.01938105,-0.00067363,-0.00028572,-0.00025809,0.96278542,0.96172725,0.96164987,0.96164079,1
38,0.0,0.39,0.05940146,0.04077426,0.04004553,0.03998784,-0.02052658,-0.00076549,-0.0003316,-0.00029941,0.9607258,0.95954493,0.95945335,0.95944219,1
39,0.0,0.4,0.06266947,0.04307865,0.04227246,0.04220594,-0.02171742,-0.00086733,-0.00038324,-0.00034591,0.9586029,0.9572882,0.95718022,0.95716658,1
40,0.0,0.41,0.06604471,0.0454647,0.04457512,0.04449874,-0.02295529,-0.00097996,-0.00044116,-0.00039802,0.95641563,0.95495514,0.95482829,0.95481169,1
41,0.0,0.42,0.06952989,0.04793484,0.04695566,0.04686829,-0.02424199,-0.00110422,-0.00050591,-0.00045625,0.95416279,0.95254371,0.95239521,0.95237511,1
42,0.0,0.43,0.07312786,0.05049163,0.04941636,0.04931679,-0.02557944,-0.001241,-0.00057806,-0.00052108,0.9518431,0.95005172,0.94987845,0.94985422,1
43,0.0,0.44,0.07684164,0.05313777,0.05195967,0.05184661,-0.02696963,-0.00139121,-0.00065819,-0.00059305,0.94945519,0.94747684,0.94727528,0.94724621,1
44,0.0,0.45,0.08067445,0.05587613,0.05458818,0.05446023,-0.02841467,-0.00155581,-0.00074693,-0.00067268,0.94699756,0.94481655,0.94458281,0.94454807,1
45,0.0,0.46,0.08462965,0.05870975,0.05730465,0.05716033,-0.02991673,-0.00173577,-0.00084491,-0.00076054,0.94446865,0.94206818,0.94179789,0.94175656,1
46,0.0,0.47,0.0887108,0.06164182,0.06011202,0.05994975,-0.03147812,-0.00193212,-0.00095278,-0.0008572,0.94186674,0.93922888,0.9389172,0.9388682,1
47,0.0,0.48,0.09292164,0.0646757,0.06301338,0.0628315,-0.03310118,-0.00214592,-0.00107121,-0.00096325,0.93919003,0.9362956,0.93593715,0.93587927,1
48,0.0,0.49,0.09726608,0.06781493,0.06601203,0.06580877,-0.03478839,-0.00237823,-0.0012009,-0.00107927,0.93643658,0.9332651,0.93285392,0.9327858,1
49,0.0,0.5,0.10174822,0.07106324,0.06911145,0.06888493,-0.03654227,-0.00263017,-0.00134254,-0.00120588,0.93360432,0.93013392,0.92966342,0.92958353,1
50,0.0,0.51,0.10637232,0.07442451,0.07231528,0.07206357,-0.03836543,-0.00290284,-0.00149685,-0.00134368,0.93069105,0.92689841,0.92636131,0.92626792,1
51,0.0,0.52,0.11114283,0.07790283,0.0756274,0.07534843,-0.04026057,-0.00319741,-0.00166453,-0.00149329,0.92769444,0.92355466,0.92294297,0.92283414,1
52,0.0,0.53,0.11606436,0.08150244,0.07905184,0.07874349,-0.0422304,-0.00351501,-0.00184629,-0.00165531,0.924612,0.92009857,0.91940348,0.91927706,1
53,0.0,0.54,0.12114167,0.08522778,0.08259286,0.0822529,-0.04427772,-0.0038568,-0.00204286,-0.00183034,0.92144112,0.91652578,0.91573763,0.91559122,1
54,0.0,0.55,0.12637968,0.08908346,0.08625489,0.08588102,-0.04640534,-0.00422395,-0.00225494,-0.00201897,0.91817904,0.9128317,0.91193992,0.91177085,1
55,0.0,0.56,0.13178342,0.09307423,0.09004257,0.0896324,-0.04861611,-0.0046176,-0.00248321,-0.00222179,0.91482284,0.90901149,0.90800454,0.90780984,1
56,0.0,0.57,0.13735806,0.09720504,0.09396071,0.0935118,-0.05091286,-0.0050389,-0.00272835,-0.00243933,0.91136947,0.90506009,0.90392537,0.90370177,1
57,0.0,0.58,0.14310884,0.10148096,0.09801429,0.09752413,-0.05329845,-0.00548896,-0.002991,-0.00267213,0.90781575,0.90097218,0.89969599,0.89943989,1
58,0.0,0.59,0.14904108,0.1059072,0.10220849,0.10167451,-0.05577565,-0.00596885,-0.00327177,-0.00292067,0.90415835,0.89674222,0.89530968,0.8950171,1
59,0.0,0.6,0.15516012,0.11048908,0.1065486,0.10596821,-0.05834721,-0.00647962,-0.00357123,-0.00318539,0.90039381,0.89236445,0.89075942,0.89042602,1
60,0.0,0.61,0.16147134,0.11523202,0.11104008,0.11041064,-0.06101579,-0.00702226,-0.00388991,-0.0034667,0.89651856,0.88783289,0.88603792,0.88565894,1
61,0.0,0.62,0.16798003,0.1201415,0.11568848,0.11500733,-0.06378393,-0.00759767,-0.00422825,-0.00376493,0.89252891,0.88314138,0.88113763,0.88070789,1
62,0.0,0.63,0.17469145,0.12522304,0.12049945,0.11976394,-0.06665401,-0.00820671,-0.00458666,-0.00408036,0.88842111,0.87828357,0.87605077,0.87556462,1
63,0.0,0.64,0.18161069,0.13048216,0.12547867,0.12468616,-0.06962825,-0.00885011,-0.00496544,-0.00441318,0.88419132,0.873253,0.87076935,0.87022067,1
64,0.0,0.65,0.18874267,0.13592435,0.13063188,0.12977975,-0.07270865,-0.00952851,-0.00536484,-0.0047635,0.87983564,0.86804307,0.86528522,0.86466739,1
65,0.0,0.66,0.19609206,0.14155498,0.13596475,0.13505045,-0.07589693,-0.01024242,-0.00578498,-0.00513136,0.87535019,0.86264713,0.85959011,0.85889599,1
66,0.0,0.67,0.20366319,0.14737932,0.14148291,0.14050394,-0.07919452,-0.01099221,-0.00622587,-0.00551665,0.87073106,0.85705851,0.8536757,0.8528976,1
67,0.0,0.68,0.21146,0.15340243,0.14719185,0.1461458,-0.0826025,-0.0117781,-0.00668743,-0.0059192,0.86597442,0.85127057,0.84753366,0.84666335,1
68,0.0,0.69,0.21948598,0.15962909,0.15309687,0.15198146,-0.08612154,-0.01260013,-0.00716942,-0.00633867,0.86107652,0.84527677,0.84115573,0.84018442,1
69,0.0,0.7,0.22774403,0.16606377,0.15920301,0.1580161,-0.08975188,-0.01345815,-0.00767147,-0.00677464,0.85603376,0.83907074,0.83453384,0.83345215,1
70,0.0,0.71,0.23623639,0.17271052,0.16551501,0.1642546,-0.09349324,-0.0143518,-0.00819307,-0.00722652,0.8508427,0.83264636,0.82766015,0.82645813,1
71,0.0,0.72,0.24496459,0.17957293,0.17203718,0.17070146,-0.0973448,-0.0152805,-0.00873353,-0.00769358,0.84550018,0.82599785,0.82052719,0.81919432,1
72,0.0,0.73,0.25392928,0.18665398,0.17877333,0.17736072,-0.10130514,-0.01624342,-0.00929202,-0.00817495,0.84000333,0.81911986,0.81312796,0.81165317,1
73,0.0,0.74,0.26313018,0.19395601,0.18572673,0.18423587,-0.10537219,-0.0172395,-0.00986751,-0.00866959,0.83434964,0.81200756,0.80545606,0.80382771,1
